,case_type,age,sex,race,is_poor,bond,bond_type,prior_F,prior_M,gini,released,sentence_type,sentence,bond_NA,held_wo_bail,sentence_NA
85,F,59.0,M,W,0.0,,7,1.0,0.0,0.37,1.0,4.0,0.0,True,False,True
86,M,34.0,M,W,1.0,,7,1.0,0.0,0.37,1.0,4.0,0.0,True,False,True
87,M,45.0,F,W,0.0,,7,0.0,0.0,0.37,1.0,4.0,0.0,True,False,True
88,M,28.0,M,W,1.0,,7,0.0,2.0,0.37,1.0,1.0,0.985626283367556,True,False,False
89,F,26.0,M,W,1.0,,7,0.0,1.0,0.37,1.0,4.0,0.0,True,False,True
90,M,44.0,M,W,1.0,,7,0.0,0.0,0.37,1.0,0.0,24.0,True,False,False
91,F,35.0,M,B,1.0,,7,16.0,15.0,0.37,0.0,2.0,120.0,True,False,False
92,M,39.0,M,B,1.0,,7,0.0,5.0,0.37,0.0,4.0,0.0,True,False,True
93,F,31.0,M,B,1.0,,7,2.0,11.0,0.37,0.0,1.0,36.0,True,False,False
94,F,39.0,M,B,1.0,,7,0.0,0.0,0.39,1.0,4.0,0.0,True,False,True
95,F,59.0,F,W,0.0,,7,0.0,0.0,0.48,1.0,4.0,0.0,True,False,True
96,F,19.0,M,W,1.0,,7,0.0,0.0,0.38,1.0,0.0,300.0,True,False,False
97,F,53.0,F,W,0.0,,7,10.0,8.0,0.43,1.0,0.0,240.0,True,False,False
98,F,28.0,M,B,0.0,,7,8.0,10.0,0.43,1.0,4.0,0.0,True,False,True
99,F,24.0,M,B,0.0,,7,0.0,0.0,0.43,1.0,0.0,120.0,True,False,False
100,F,29.0,M,B,1.0,,7,3.0,5.0,0.48,0.0,4.0,0.0,True,False,True
101,M,25.0,M,B,1.0,,7,0.0,5.0,0.48,1.0,4.0,0.0,True,False,True
102,F,32.0,F,B,0.0,,7,0.0,0.0,0.47,1.0,0.0,12.0,True,False,False
103,F,38.0,M,B,1.0,,7,0.0,3.0,0.47,1.0,4.0,0.0,True,False,True
104,F,38.0,M,W,0.0,,7,0.0,0.0,0.47,1.0,2.0,120.0,True,False,False
105,F,44.0,F,W,0.0,,7,1.0,1.0,0.47,1.0,4.0,0.0,True,False,True
106,F,38.0,M,B,1.0,,7,1.0,5.0,0.47,1.0,4.0,0.0,True,False,True
107,F,33.0,M,W,1.0,,7,7.0,7.0,0.48,1.0,2.0,120.0,True,False,False
108,F,29.0,M,B,1.0,,7,3.0,3.0,0.54,1.0,4.0,0.0,True,False,True
109,F,31.0,M,B,1.0,,7,0.0,5.0,0.54,1.0,1.0,12.0,True,False,False
110,F,34.0,M,W,0.0,,7,0.0,0.0,0.54,1.0,1.0,180.0,True,False,False
111,F,33.0,M,W,0.0,,7,10.0,4.0,0.45,0.0,0.0,36.0,True,False,False
112,M,43.0,M,W,0.0,,7,0.0,4.0,0.45,0.0,1.0,4.0,True,False,False
113,F,20.0,M,W,0.0,,7,0.0,0.0,0.45,1.0,0.0,12.0,True,False,False
114,F,32.0,F,W,0.0,,7,3.0,8.0,0.45,0.0,2.0,96.0,True,False,False
115,F,46.0,M,W,1.0,,1,0.0,0.0,0.44,1.0,1.0,2.0,True,True,False
116,F,30.0,M,B,0.0,2000.0,2,1.0,9.0,0.43,1.0,1.0,0.985626283367556,False,False,False
117,F,27.0,M,B,0.0,,1,0.0,5.0,0.41,1.0,0.0,12.0,True,True,False
118,F,31.0,F,W,0.0,1000.0,2,2.0,4.0,0.41,1.0,0.0,54.0,False,False,False
119,M,43.0,M,B,1.0,4000.0,3,4.0,17.0,0.42,1.0,1.0,12.0,False,False,False
120,F,36.0,F,B,1.0,3000.0,3,0.0,1.0,0.39,1.0,4.0,0.0,False,False,True
121,S,41.0,M,W,0.0,,1,5.0,7.0,0.46,0.0,4.0,0.0,True,True,True
122,F,29.0,M,B,0.0,2000.0,2,0.0,0.0,0.46,1.0,4.0,0.0,False,False,True
123,S,27.0,M,B,0.0,1000.0,3,0.0,1.0,0.46,1.0,0.0,0.328542094455852,False,False,False
124,M,39.0,M,W,1.0,2500.0,2,1.0,4.0,0.45,1.0,4.0,0.0,False,False,True
125,F,36.0,M,W,0.0,,1,5.0,10.0,0.48,0.0,2.0,44.0,True,True,False
126,F,45.0,M,W,1.0,,1,6.0,9.0,0.38,1.0,1.0,2.0,True,True,False
127,S,23.0,M,W,1.0,1500.0,3,3.0,13.0,0.43,1.0,0.0,0.0,False,False,False
128,F,29.0,M,W,1.0,5000.0,2,3.0,1.0,0.45,1.0,0.0,6.0,False,False,False
129,M,41.0,M,B,0.0,1500.0,2,1.0,30.0,0.52,1.0,1.0,12.0,False,False,False
130,F,30.0,M,B,0.0,,1,0.0,3.0,0.41,0.0,1.0,5.0,True,True,False
131,F,53.0,M,B,0.0,,1,16.0,9.0,0.41,0.0,1.0,115.0,True,True,False
132,M,31.0,M,W,1.0,,1,1.0,15.0,0.41,1.0,4.0,0.0,True,True,True
133,F,40.0,M,W,0.0,,1,19.0,1.0,0.41,0.0,2.0,132.0,True,True,False
134,S,27.0,M,B,0.0,4000.0,3,0.0,8.0,0.48,1.0,0.0,0.0,False,False,False
135,S,26.0,M,B,0.0,5000.0,2,0.0,0.0,0.43,1.0,1.0,0.328542094455852,False,False,False
136,F,27.0,M,B,1.0,,1,1.0,4.0,0.43,1.0,4.0,0.0,True,True,True
137,M,29.0,M,B,1.0,1000.0,2,0.0,2.0,0.49,1.0,4.0,0.0,False,False,True
138,S,36.0,M,B,1.0,1000.0,2,0.0,2.0,0.49,1.0,4.0,0.0,False,False,True
139,F,21.0,M,B,0.0,,1,0.0,0.0,0.54,1.0,0.0,240.0,True,True,False
140,F,45.0,M,B,1.0,,1,1.0,0.0,0.43,1.0,0.0,24.0,True,True,False
141,M,21.0,F,W,0.0,2500.0,3,0.0,0.0,0.42,1.0,0.0,2.95687885010267,False,False,False
142,S,22.0,M,W,0.0,,1,6.0,0.0,0.42,0.0,0.0,0.0,True,True,False
143,F,35.0,F,W,1.0,,1,0.0,2.0,0.43,1.0,1.0,12.0,True,True,False
144,F,56.0,M,B,1.0,,1,1.0,3.0,0.42,1.0,1.0,72.0,True,True,False
145,F,54.0,M,B,0.0,5000.0,3,0.0,0.0,0.44,1.0,2.0,48.0,False,False,False
146,F,54.0,M,B,1.0,10000.0,2,2.0,2.0,0.44,1.0,4.0,0.0,False,False,True
147,F,33.0,M,W,0.0,,1,5.0,9.0,0.42,0.0,2.0,12.0,True,True,False
148,M,27.0,M,B,0.0,1500.0,2,2.0,7.0,0.44,1.0,4.0,0.0,False,False,True
149,F,30.0,M,B,0.0,,1,5.0,3.0,0.39,0.0,2.0,258.0,True,True,False
150,F,32.0,M,B,0.0,,1,2.0,0.0,0.39,0.0,4.0,0.0,True,True,True
151,F,33.0,M,B,0.0,1000.0,2,6.0,6.0,0.41,1.0,1.0,34.0,False,False,False
152,F,39.0,M,W,0.0,5000.0,2,0.0,2.0,0.41,1.0,1.0,12.0,False,False,False
153,F,29.0,F,B,1.0,5000.0,3,1.0,8.0,0.41,1.0,1.0,76.0,False,False,False
154,M,26.0,M,W,1.0,2000.0,3,0.0,0.0,0.42,1.0,0.0,0.985626283367556,False,False,False
155,F,20.0,M,W,0.0,,1,0.0,2.0,0.39,0.0,1.0,72.0,True,True,False
156,F,41.0,M,W,1.0,2500.0,2,0.0,0.0,0.46,1.0,0.0,60.0,False,False,False
157,F,26.0,M,B,0.0,,1,3.0,5.0,0.4,0.0,0.0,48.0,True,True,False
158,S,33.0,M,B,0.0,1500.0,3,0.0,4.0,0.44,1.0,0.0,0.164271047227926,False,False,False
159,S,63.0,M,W,0.0,,1,0.0,5.0,0.39,0.0,0.0,0.328542094455852,True,True,False
160,S,25.0,M,B,1.0,,1,6.0,6.0,0.39,0.0,1.0,0.131416837782341,True,True,False
161,M,43.0,M,B,1.0,500.0,2,5.0,0.0,0.46,1.0,1.0,12.0,False,False,False
162,F,33.0,M,B,0.0,1000.0,2,8.0,3.0,0.46,1.0,0.0,48.0,False,False,False
163,F,42.0,F,W,0.0,1000.0,2,1.0,2.0,0.46,1.0,0.0,60.0,False,False,False
164,F,33.0,M,B,0.0,2000.0,2,4.0,22.0,0.45,1.0,1.0,111.0,False,False,False
165,F,37.0,M,B,0.0,,1,1.0,4.0,0.45,1.0,1.0,36.0,True,True,False
166,S,27.0,M,W,0.0,,1,0.0,1.0,0.48,0.0,1.0,0.328542094455852,True,True,False
167,F,27.0,M,B,1.0,,1,1.0,0.0,0.45,1.0,1.0,60.0,True,True,False
168,F,38.0,F,W,1.0,10000.0,3,6.0,19.0,0.4,1.0,4.0,0.0,False,False,True
169,S,57.0,M,B,0.0,,1,9.0,8.0,0.46,0.0,4.0,0.0,True,True,True
170,M,29.0,M,W,1.0,2500.0,3,0.0,0.0,0.46,1.0,0.0,0.0,False,False,False
171,F,31.0,M,W,0.0,5000.0,2,0.0,0.0,0.5,1.0,0.0,12.0,False,False,False
172,F,45.0,F,W,1.0,,1,2.0,0.0,0.48,1.0,1.0,0.985626283367556,True,True,False
173,F,24.0,M,B,0.0,,1,1.0,4.0,0.44,1.0,1.0,9.0,True,True,False
174,F,29.0,F,W,1.0,1500.0,2,0.0,2.0,0.44,1.0,1.0,12.0,False,False,False
175,F,43.0,M,W,1.0,,1,8.0,11.0,0.43,1.0,1.0,3.0,True,True,False
176,F,40.0,F,B,0.0,2500.0,2,0.0,0.0,0.43,1.0,4.0,0.0,False,False,True
177,F,42.0,F,W,0.0,5000.0,3,0.0,0.0,0.42,1.0,4.0,0.0,False,False,True
178,M,52.0,F,W,1.0,1000.0,2,0.0,0.0,0.44,1.0,0.0,6.0,False,False,False
179,M,25.0,F,W,1.0,2000.0,3,0.0,2.0,0.41,1.0,1.0,24.0,False,False,False
180,M,23.0,M,W,1.0,,1,0.0,0.0,0.41,0.0,1.0,6.0,True,True,False
181,M,29.0,M,B,1.0,,1,4.0,0.0,0.37,0.0,1.0,12.0,True,True,False
182,F,26.0,M,W,1.0,,1,0.0,1.0,0.37,0.0,1.0,24.0,True,True,False
183,F,26.0,M,W,0.0,,1,2.0,3.0,0.37,0.0,1.0,1.97125256673511,True,True,False
184,F,52.0,F,W,1.0,15000.0,3,0.0,0.0,0.4,1.0,4.0,0.0,False,False,True
185,M,27.0,M,W,0.0,0.0,4,5.0,1.0,0.48,1.0,0.0,0.0,False,False,False
186,S,27.0,M,B,0.0,2000.0,3,0.0,2.0,0.52,1.0,4.0,0.0,False,False,True
187,F,36.0,F,W,1.0,,1,14.0,6.0,0.41,0.0,0.0,72.0,True,True,False
188,F,23.0,M,B,0.0,,1,4.0,5.0,0.41,0.0,1.0,36.9856262833676,True,True,False
189,S,28.0,F,B,0.0,,1,0.0,3.0,0.41,0.0,1.0,0.0657084188911704,True,True,False
190,F,26.0,F,W,0.0,,1,4.0,4.0,0.41,0.0,1.0,44.0,True,True,False
191,S,41.0,F,W,0.0,2500.0,3,0.0,3.0,0.48,1.0,0.0,0.0,False,False,False
192,S,31.0,M,W,0.0,,1,0.0,1.0,0.43,1.0,4.0,0.0,True,True,True
193,S,23.0,M,B,1.0,,1,0.0,1.0,0.43,1.0,0.0,0.328542094455852,True,True,False
194,F,34.0,M,B,1.0,,1,0.0,3.0,0.43,1.0,4.0,0.0,True,True,True
195,S,30.0,M,B,1.0,,1,3.0,11.0,0.49,0.0,0.0,0.0,True,True,False
196,,24.0,M,B,0.0,500.0,3,0.0,0.0,0.49,1.0,0.0,0.0,False,False,False
197,F,25.0,M,B,0.0,,1,4.0,7.0,0.49,0.0,1.0,12.0,True,True,False
198,F,34.0,M,B,,,1,4.0,4.0,0.49,0.0,0.0,0.0,True,True,False
199,F,50.0,F,B,0.0,,1,2.0,10.0,0.49,0.0,1.0,35.4928131416838,True,True,False
200,F,34.0,M,B,1.0,1500.0,2,12.0,4.0,0.49,1.0,2.0,106.492813141684,False,False,False
201,M,41.0,M,B,0.0,,1,12.0,3.0,0.42,0.0,4.0,0.0,True,True,True
202,M,19.0,M,B,1.0,1500.0,3,0.0,1.0,0.54,1.0,4.0,0.0,False,False,True
203,F,53.0,M,W,0.0,,1,7.0,2.0,0.54,1.0,4.0,0.0,True,True,True
204,F,44.0,M,B,0.0,,1,1.0,1.0,0.54,0.0,1.0,180.0,True,True,False
205,F,34.0,M,B,1.0,1000.0,3,0.0,1.0,0.54,1.0,4.0,0.0,False,False,True
206,F,40.0,M,B,1.0,1500.0,2,1.0,2.0,0.54,1.0,1.0,8.0,False,False,False
207,F,36.0,M,B,1.0,,1,0.0,4.0,0.54,0.0,0.0,35.0,True,True,False
208,M,38.0,M,B,0.0,1000.0,2,0.0,1.0,0.47,0.0,4.0,0.0,False,False,True
209,F,31.0,F,W,1.0,,1,6.0,5.0,0.47,1.0,4.0,0.0,True,True,True
210,F,29.0,M,W,0.0,,1,0.0,3.0,0.43,1.0,4.0,0.0,True,True,True
211,S,25.0,M,B,0.0,,1,1.0,0.0,0.42,0.0,0.0,0.0,True,True,False
212,S,50.0,M,W,0.0,,1,7.0,4.0,0.42,0.0,2.0,12.0,True,True,False
213,S,26.0,M,B,0.0,,1,5.0,1.0,0.42,1.0,0.0,0.0,True,True,False
214,F,47.0,M,W,0.0,2500.0,2,1.0,12.0,0.42,1.0,4.0,0.0,False,False,True
215,F,43.0,M,W,0.0,2500.0,3,0.0,0.0,0.46,1.0,0.0,36.0,False,False,False
216,F,23.0,M,B,1.0,,1,5.0,1.0,0.42,0.0,2.0,54.0,True,True,False
217,M,27.0,F,W,1.0,,1,0.0,4.0,0.44,0.0,2.0,18.3141683778234,True,True,False
218,F,48.0,M,B,0.0,10000.0,2,2.0,1.0,0.44,0.0,0.0,0.0,False,False,False
219,F,61.0,M,W,1.0,5000.0,2,0.0,1.0,0.44,1.0,1.0,12.0,False,False,False
220,F,50.0,M,B,0.0,3500.0,2,1.0,3.0,0.44,0.0,0.0,0.0,False,False,False
221,M,41.0,M,W,0.0,1500.0,2,13.0,6.0,0.43,1.0,4.0,0.0,False,False,True
222,F,44.0,M,W,0.0,,1,2.0,1.0,0.45,0.0,1.0,12.0,True,True,False
223,F,33.0,M,B,0.0,,1,6.0,1.0,0.44,0.0,2.0,480.0,True,True,False
224,F,41.0,M,W,0.0,,1,2.0,5.0,0.44,0.0,0.0,0.0,True,True,False
225,F,49.0,F,W,,1000.0,2,0.0,1.0,0.44,1.0,4.0,0.0,False,False,True
226,F,44.0,M,W,0.0,7500.0,3,3.0,1.0,0.41,1.0,1.0,32.0,False,False,False
227,F,25.0,M,W,0.0,,1,10.0,14.0,0.41,0.0,1.0,93.0,True,True,False
228,M,32.0,F,W,1.0,11314.52,2,2.0,4.0,0.41,1.0,4.0,0.0,False,False,True
229,F,23.0,M,W,0.0,2000.0,2,0.0,2.0,0.41,1.0,1.0,12.0,False,False,False
230,F,53.0,M,B,1.0,,1,7.0,6.0,0.43,1.0,1.0,0.985626283367556,True,True,False
231,S,38.0,M,W,0.0,,1,0.0,1.0,0.42,0.0,4.0,0.0,True,True,True
232,F,35.0,F,B,0.0,2500.0,2,2.0,1.0,0.42,0.0,1.0,3.0,False,False,False
233,F,34.0,M,W,0.0,,1,10.0,4.0,0.41,0.0,0.0,0.328542094455852,True,True,False
234,F,18.0,M,W,0.0,25000.0,3,0.0,0.0,0.44,1.0,4.0,0.0,False,False,True
235,F,32.0,M,W,1.0,,1,0.0,8.0,0.4,0.0,4.0,0.0,True,True,True
236,F,25.0,M,W,1.0,,1,1.0,5.0,0.41,0.0,4.0,0.0,True,True,True
237,F,22.0,M,B,0.0,,1,3.0,0.0,0.4,0.0,2.0,234.0,True,True,False
238,F,42.0,M,W,0.0,,1,0.0,0.0,0.44,0.0,2.0,732.0,True,True,False
239,S,24.0,F,B,1.0,,1,0.0,3.0,0.46,0.0,0.0,0.0,True,True,False
240,M,46.0,F,B,,78000.0,2,2.0,2.0,0.46,1.0,4.0,0.0,False,False,True
241,F,32.0,M,A,1.0,,1,0.0,3.0,0.46,0.0,2.0,480.0,True,True,False
242,F,37.0,M,B,0.0,,1,2.0,8.0,0.45,0.0,1.0,4.0,True,True,False
243,M,60.0,M,W,1.0,7500.0,2,1.0,2.0,0.45,1.0,1.0,1.16427104722793,False,False,False
244,F,33.0,M,W,0.0,,1,8.0,3.0,0.45,0.0,1.0,3.0,True,True,False
245,F,23.0,M,B,1.0,2500.0,2,0.0,1.0,0.45,1.0,1.0,60.0,False,False,False
246,F,78.0,M,W,0.0,,1,0.0,0.0,0.38,1.0,1.0,120.0,True,True,False
247,F,21.0,M,B,0.0,,1,1.0,1.0,0.38,0.0,2.0,36.0,True,True,False
248,F,39.0,M,W,0.0,,1,1.0,4.0,0.47,1.0,2.0,240.0,True,True,False
249,F,29.0,M,W,0.0,5000.0,3,0.0,2.0,0.47,1.0,0.0,24.0,False,False,False
250,F,45.0,M,W,1.0,,1,3.0,5.0,0.5,1.0,4.0,0.0,True,True,True
251,F,65.0,M,W,0.0,3000.0,2,0.0,0.0,0.39,1.0,0.0,6.0,False,False,False
252,M,32.0,M,B,1.0,,1,1.0,4.0,0.38,1.0,1.0,0.985626283367556,True,True,False
253,F,33.0,F,W,1.0,,1,4.0,5.0,0.38,1.0,0.0,0.0,True,True,False
254,F,31.0,M,W,0.0,,1,5.0,0.0,0.38,0.0,1.0,4.6570841889117,True,True,False
255,M,21.0,F,W,1.0,,1,0.0,1.0,0.43,1.0,0.0,0.328542094455852,True,True,False
256,F,32.0,F,W,0.0,,1,1.0,25.0,0.43,0.0,0.0,24.0,True,True,False
257,F,42.0,M,W,0.0,4000.0,2,0.0,0.0,0.44,1.0,4.0,0.0,False,False,True
258,F,21.0,M,W,1.0,3500.0,3,0.0,0.0,0.46,1.0,4.0,0.0,False,False,True
259,F,41.0,F,W,0.0,,1,4.0,1.0,0.39,0.0,1.0,21.0,True,True,False
260,F,54.0,F,W,0.0,,1,6.0,3.0,0.39,0.0,1.0,7.0,True,True,False
261,F,26.0,F,B,1.0,,1,0.0,3.0,0.39,0.0,1.0,12.0,True,True,False
262,F,22.0,M,W,0.0,,1,4.0,0.0,0.37,0.0,1.0,6.0,True,True,False
263,F,34.0,M,B,1.0,,1,3.0,6.0,0.37,0.0,1.0,4.49281314168378,True,True,False
264,F,34.0,F,W,0.0,,1,4.0,1.0,0.49,0.0,2.0,18.0,True,True,False
265,F,67.0,M,W,1.0,,1,0.0,2.0,0.45,0.0,2.0,600.0,True,True,False
266,F,41.0,M,W,0.0,,1,4.0,4.0,0.45,0.0,0.0,0.0,True,True,False
267,F,26.0,M,W,1.0,1000.0,3,0.0,8.0,0.48,1.0,4.0,0.0,False,False,True
268,M,45.0,M,W,,,1,2.0,2.0,0.44,,,,True,True,True
269,M,30.0,F,W,1.0,3000.0,3,0.0,1.0,0.45,1.0,0.0,12.0,False,False,False
270,F,37.0,M,W,0.0,,1,1.0,0.0,0.45,0.0,1.0,6.0,True,True,False
271,F,46.0,F,W,0.0,,1,2.0,1.0,0.45,0.0,1.0,6.0,True,True,False
272,F,47.0,M,B,1.0,,1,2.0,10.0,0.41,0.0,2.0,43.1642710472279,True,True,False
273,S,26.0,M,B,1.0,1000.0,2,0.0,1.0,0.41,1.0,4.0,0.0,False,False,True
274,M,40.0,M,B,0.0,2500.0,2,1.0,10.0,0.48,1.0,1.0,0.985626283367556,False,False,False
